127.0.0.1 - - [16/Aug/2024:12:45:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:45:04 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:45:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:48:51 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:49:41 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:49:41 +0900] "GET /chapter16_search/Controller?cmd=inputDynamic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:49:42 +0900] "GET /chapter16_search/inputDynamic.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:52:27 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:53:30 +0900] "GET /chapter16_search/Controller?cmd=allList HTTP/1.1" 500 5048
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:54:29 +0900] "GET /chapter16_search/Controller?cmd=allList HTTP/1.1" 500 5048
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:55:28 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:12:55:29 +0900] "GET /chapter16_search/Controller?cmd=allList HTTP/1.1" 200 46747
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:10:16 +0900] "GET /chapter16_search/Controller?cmd=allList HTTP/1.1" 200 46747
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:10:21 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:10:22 +0900] "GET /chapter16_search/Controller?cmd=inputDept HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:10:22 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:10:28 +0900] "GET /chapter16_search/Controller?department_id=50&cmd=deptList HTTP/1.1" 500 4863
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:05 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:07 +0900] "GET /chapter16_search/Controller?department_id=10&cmd=deptList HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:12 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:19 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:23 +0900] "GET /chapter16_search/Controller?cmd=inputDept HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:23 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:28 +0900] "GET /chapter16_search/Controller?department_id=70&cmd=deptList HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:30 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:31 +0900] "GET /chapter16_search/Controller?cmd=inputDept HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:31 +0900] "GET /chapter16_search/inputDept.jsp HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:34 +0900] "GET /chapter16_search/Controller?department_id=80&cmd=deptList HTTP/1.1" 200 16008
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:41 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:49 +0900] "GET /chapter16_search/Controller?cmd=inputDynamic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:49 +0900] "GET /chapter16_search/inputDynamic.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:52 +0900] "GET /chapter16_search/Controller?type=employee_id&searching_content=158&cmd=dynamicList HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:53 +0900] "GET /chapter16_search/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Aug/2024:13:12:54 +0900] "GET /chapter16_search/Controller?cmd=inputDynamic HTTP/1.1" 302 -
